,subject,label,body
1,sony,3,"@PersonaSoda well yeah, that's third parties. Sony itself isn't putting out actual games for it. It's got 1-2 yrs of 3rd party support left."
6,sony,3,Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix? https://t.co/xbisCRkPL4 #MistressSophia
7,sony,3,#tv Ind vs SL 3rd Test Day 3: Cricket live score and Sony Six live streaming info: Watch the live teleca... http://t.co/mUlHw4cN00 #Sony
8,sony,3,"@TruthInsider @bertymufc @gamerxone720 @PNF4LYFE @Yanks2013 @VirtuaMe Lol it's all about Sony Sony Sony, if Sony gave Bj's u be the 1st"
9,sony,3,"@greencapt Official reason, because the game has to be on our region store and sony wont have it up til tuesday"
12,sony,3,I know it's coming coon but I don't get why it's taken so long for Sony to release a remote for the PS4. All of the 3rd party ones are bad.
15,sony,3,At least Sony will probably be selling it for cheap come Black Friday.
16,sony,3,@InnoBystander Might keep SONY monthly subs going beyond tomorrow....
18,sony,3,"Uncharted 4: A Thief's End launches for PS4 in North America on March 18, 2016, Sony announced today.The latest game in the Naughty D..."
21,sony,3,"@Adam_OliverYT Hi Adam, you may need to contact Playstation support or Sony for details regarding this aspect of your purchase. ^TO"
22,sony,3,Oh my gosh actual acknowledgement from Sony the Vita exists. https://t.co/3QEfWcBRu0
31,sony,3,Sony may release first smartphone with 4K screen - The Star Online http://t.co/cEdCUgEuWs #News
33,sony,3,@vsamuel323 For any information on this we ask that you contact Sony directly. Apologies for the inconvenience this may cause. ^AI
34,sony,3,Rich Guys Can't Make Other Rich Guys Look Bad: It's the 1st Law Of Rich Guys or something.In the end even Sony... http://t.co/yNVaGavh1a
36,sony,1,Exactly why I'll never buy Sony. Those 1st class ass kissers are dick pulling the media for high scores on future games. LOL. @tomwarren
37,sony,3,Sony may have cut scenes from #WillSmith's film #Concussion to avoid angering the NFL! http://t.co/nSUCckKwhK http://t.co/DMQTRDbSbX
39,sony,3,New phone on Saturday! Torn between Sony z3 or Samsung A5 - which one would you recommend?
40,sony,3,Do you see Sony pulling shit like this? No.  https://t.co/n2TMMkngG6
