State,ST,Fips,County,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,nearest_county,name_16,votes16_trumpd,votes16_clintonh,votes16_johnsong,total16,other16_frac,rep16_frac2,dem16_frac2,statecode_prev,total08,total12,other08,other12,other12_frac,other08_frac,rep12_frac2,rep08_frac2,dem12_frac2,dem08_frac2,Turnout removing errors,State/Zip,Bucket
Alabama,AL,1001,"Autauga County, Alabama",24661,6093,6363,17403,17379,73%,24%,72%,74%,27%,26%,15%,85%,22%,7%,79%,30043.21365,21.15,8.75,52077,10.45,14,77.55,17.7,2.2,0.75,0.4,1.35,78.3,0.63346775,36.2,-86.6444901,32.5363818,5.1,3.6,0.09,39,0.301,0.217,0.305,0.118,446.9,181.1,0.139,0.065,302.91,3.57,69.6,9,,Autauga,18110,5908,538,24661,0.021815823,0.75401782,0.24598218,1,23641,23973,145,231,0.00963584,0.006133412,0.731993935,0.740679265,0.268006065,0.259320735,0.778892625,Alabama 01001,75-80%
Alabama,AL,1003,"Baldwin County, Alabama",94090,19386,18424,61271,66016,77%,20%,77%,75%,22%,24%,12%,88%,27%,9%,75%,26630.5654,20.9,5.2,177131,12.05,19.1,84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,1003,Baldwin,72780,18409,2448,94090,0.026017643,0.798122581,0.201877419,1,81413,85491,756,1051,0.012293692,0.009285986,0.781809569,0.759648884,0.218190431,0.240351116,0.770060121,Alabama 01003,75-80%
Alabama,AL,1005,"Barbour County, Alabama",10390,5697,5912,5866,5550,52%,47%,48%,50%,51%,49%,28%,72%,14%,6%,68%,20663.4527,37.15,21.3,28560,24.85,34.15,47.4,46.5,4.7,0.25,0.35,0.9,47.65,0.4432095,38,-85.4054562,31.8706701,4.8,4.3,0.12,73.8,0.559,0.251,0.373,0.142,873.9,388.1,0.189,0.112,154.33,5.13,52.7,12.8,1005,Barbour,5431,4848,93,10390,0.008950914,0.52835879,0.47164121,1,11630,11517,67,55,0.004775549,0.005760963,0.48420869,0.507307792,0.51579131,0.492692208,0.71220682,Alabama 01005,70-75%
Alabama,AL,1007,"Bibb County, Alabama",8748,2299,2202,6262,6132,77%,21%,73%,72%,26%,27%,26%,75%,10%,3%,67%,26875.00381,21.55,12.4,22189,12.25,17.9,75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,1007,Bibb,6733,1874,124,8748,0.014174668,0.782270245,0.217729755,1,8644,8420,83,86,0.010213777,0.009602036,0.735781138,0.731456606,0.264218862,0.268543394,0.695739308,Alabama 01007,65-70%
Alabama,AL,1009,"Blount County, Alabama",25384,3522,2970,20389,20757,90%,8%,86%,84%,12%,15%,25%,75%,13%,4%,73%,27774.18032,16.95,10.8,57063,12.2,15.8,89.15,1.05,7.7,0.3,0.6,1.2,89.45,0.8010005,38.3,-86.5672464,33.9774479,5.9,3.9,0.08,47.6,0.253,0.213,0.304,0.14,175.1,92.8,0.181,0.062,164.46,4.08,89.3,6.6,1009,Blount,22808,2150,337,25384,0.013276079,0.913855277,0.086144723,1,24267,24060,356,333,0.013840399,0.014670128,0.874826147,0.852703777,0.125173853,0.147296223,0.76605183,Alabama 01009,75-80%
Alabama,AL,1011,"Bullock County, Alabama",4701,4011,4061,1391,1251,24%,75%,24%,26%,76%,74%,25%,75%,12%,4%,70%,20651.69397,54.35,24.25,10915,28.8,50.85,22.05,72.45,4.7,0.25,0.15,0.35,22.3,0.57575025,38.7,-85.7172613,32.1017589,4.2,,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,0.134,333.96,,102.5,,1011,Bullock,1139,3530,22,4701,0.004679855,0.243949454,0.756050546,1,5415,5322,13,10,0.001878993,0.002400739,0.235504518,0.257497223,0.764495482,0.742502777,0.771211414,Alabama 01011,75-80%
Alabama,AL,1013,"Butler County, Alabama",8685,4188,4374,5485,5087,56%,43%,54%,56%,46%,43%,25%,75%,11%,3%,74%,22321.77111,34.2,21.25,20568,23.5,30.65,55.4,42.25,0.65,0.7,0.25,0.8,56.1,0.48558375,39.7,-86.6819689,31.751667,3.9,3.5,0.1,61.5,0.494,0.305,0.383,0.16,639.2,219.8,0.164,0.109,452.92,9.58,70.8,10.8,1013,Butler,4891,3716,65,8685,0.007484168,0.568258394,0.431741606,1,9709,9502,36,41,0.004314881,0.0037079,0.537681006,0.567042283,0.462318994,0.432957717,0.76251205,Alabama 01013,75-80%
Alabama,AL,1015,"Calhoun County, Alabama",47376,16334,15511,32348,30278,69%,28%,65%,66%,33%,33%,22%,79%,16%,6%,75%,24610.49683,30.4,11.1,115770,18.5,25.8,74.65,19.9,2.85,0.75,0.45,1.4,75.4,0.597948,38.1,-85.8225133,33.7717061,5.2,5.1,0.09,50.7,0.388,0.244,0.332,0.139,663,185.4,0.169,0.076,553.33,11.31,78.4,8,1015,Calhoun,32803,13197,1114,47376,0.023514016,0.713108696,0.286891304,1,49242,46364,560,575,0.012401864,0.011372406,0.661250519,0.664475576,0.338749481,0.335524424,0.732104291,Alabama 01015,70-75%
Alabama,AL,1017,"Chambers County, Alabama",13778,6799,6871,8067,7626,57%,42%,52%,54%,47%,45%,28%,72%,11%,4%,74%,23437.68032,31.85,14.5,34459,18.15,26.1,58.95,37.95,1.45,0.35,0.2,1.05,59.3,0.49186725,40.1,-85.3918121,32.9179433,5,4.3,0.12,62.6,0.516,0.241,0.354,0.15,766.1,318.2,0.179,0.093,575.7,8.21,77.5,6.7,1017,Chambers,7803,5763,168,13778,0.012193352,0.57518797,0.42481203,1,14956,14629,90,132,0.009023173,0.006017652,0.52603987,0.542647652,0.47396013,0.457352348,0.720428157,Alabama 01017,70-75%
Alabama,AL,1019,"Cherokee County, Alabama",10503,2306,2132,7298,7506,84%,15%,77%,75%,22%,24%,27%,73%,11%,4%,69%,26915.90349,20.7,10.45,25208,16.1,24.2,92,5.1,1.2,0.15,0.55,1,92.15,0.8492775,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,,80.9,,1019,Cherokee,8809,1524,145,10503,0.013805579,0.852511371,0.147488629,1,9745,9792,141,154,0.015727124,0.014468958,0.778792281,0.759891712,0.221207719,0.240108288,0.713177679,Alabama 01019,70-75%
